,InvoiceDate,Daily Sales,Rolling Mean,Rolling Std
0,2010-12-01,4549586.93,4549586.93,
1,2010-12-02,1720301.59,3134944.26,2000606.8498256863
2,2010-12-03,5751264.25,4007050.9233333333,2069522.6455576485
3,2010-12-04,5751264.25,4443104.255,1901539.556748957
4,2010-12-05,3501206.43,4254724.6899999995,1699801.1110005518
5,2010-12-06,3459187.0,4122135.0749999997,1554650.793458794
6,2010-12-07,2832914.11,3937960.6514285714,1500519.05555604
7,2010-12-08,5047861.86,4009142.7842857144,1545513.4169806528
8,2010-12-09,3453899.29,4256799.598571429,1222826.9415617508
9,2010-12-10,3693618.09,3962850.1471428573,1036881.4807968456
10,2010-12-11,3693618.09,3668900.695714286,673294.9042638132
11,2010-12-12,2419724.38,3514403.2600000002,825145.4484046776
12,2010-12-13,3368582.34,3501459.737142857,826864.7841889792
13,2010-12-14,2865128.89,3506061.8485714286,822602.3404859549
14,2010-12-15,4028914.71,3360497.9699999997,548931.3259548688
15,2010-12-16,6865418.31,3847857.8299999996,1438810.7910632808
16,2010-12-17,3536693.18,3825439.9857142856,1442831.3934008533
17,2010-12-18,3536693.18,3803022.141428571,1446435.5248980077
18,2010-12-19,588511.2,3541420.2585714282,1848132.9969328386
19,2010-12-20,7944720.07,4195154.22,2478614.2998009627
20,2010-12-21,335488.08999999997,3833776.962857143,2859926.3885000544
21,2010-12-22,590234.17,3342536.8857142855,3105595.6782564293
22,2010-12-23,1066778.33,2514159.745714286,2763852.07553508
23,2010-12-24,1066778.33,2161314.7671428574,2769209.0043500047
24,2010-12-25,1066778.33,1808469.7885714287,2721701.619697908
25,2010-12-26,1066778.33,1876793.6642857143,2691811.2996622915
26,2010-12-27,1066778.33,894230.5585714286,303718.78922629834
27,2010-12-28,1066778.33,998700.5928571429,180116.7622999955
28,2010-12-29,1066778.33,1066778.33,0.0
29,2010-12-30,1066778.33,1066778.33,0.0
30,2010-12-31,1066778.33,1066778.33,0.0
31,2011-01-01,1066778.33,1066778.33,0.0
32,2011-01-02,1066778.33,1066778.33,0.0
33,2011-01-03,1066778.33,1066778.33,0.0
34,2011-01-04,2697338.46,1299715.4914285715,616293.8002452994
35,2011-01-05,5461679.6,1927558.53,1672686.743017996
36,2011-01-06,10863506.82,3327091.171428572,3701051.058584182
37,2011-01-07,4318705.34,3791652.172857143,3571886.5155388378
38,2011-01-08,4318705.34,4256213.1742857145,3363836.3216348467
39,2011-01-09,3222809.55,4564217.634285714,3112440.8959738472
40,2011-01-10,1620023.6099999999,4643252.6742857145,3014304.811733143
41,2011-01-11,4167435.25,4853266.5014285715,2905376.6372876638
42,2011-01-12,2626493.2,4448239.872857143,3002424.222620228
43,2011-01-13,2876132.05,3307186.334285714,1023812.9739557243
44,2011-01-14,1425571.19,2893881.455714286,1126256.0712058267
45,2011-01-15,1425571.19,2480576.5771428575,1044093.0597239421
46,2011-01-16,1577020.0999999999,2245463.7985714287,1034354.89517538
47,2011-01-17,3587919.85,2526591.832857143,1101296.381085122
48,2011-01-18,16899962.73,4345524.33,5597900.4715616815
49,2011-01-19,3613081.82,4486465.561428572,5559695.602078001
50,2011-01-20,1062197.85,4227332.104285715,5688052.9097958105
51,2011-01-21,442359.11,4086873.2357142866,5780163.361563264
52,2011-01-22,442359.11,3946414.3671428575,5866906.974659296
53,2011-01-23,1107378.19,3879322.665714286,5901104.032904743
54,2011-01-24,1938595.08,3643704.841428572,5947423.398555125
55,2011-01-25,4986504.5,1941782.2371428576,1733494.7528034505
56,2011-01-26,2130064.8,1729922.6628571434,1578925.8490761206
57,2011-01-27,3155898.33,2029022.7314285722,1628873.0890673506
58,2011-01-28,1957280.22,2245440.0328571433,1476434.649394997
59,2011-01-29,1957280.22,2461857.3342857147,1263806.1407560296
60,2011-01-30,440681.07,2366614.888571429,1400611.6308731823
61,2011-01-31,7554492.16,3168885.900000001,2380324.7621437684
62,2011-02-01,1865083.88,2722968.668571429,2273028.1905769217
63,2011-02-02,3395678.57,2903770.635714286,2268337.16944808
64,2011-02-03,1852769.63,2717609.392857143,2297482.817026428
65,2011-02-04,3489016.31,2936428.8342857147,2285911.864452878
66,2011-02-05,3489016.31,3155248.275714286,2249585.353871074
67,2011-02-06,110019.47,3108010.9042857145,2318502.726837002
68,2011-02-07,1602779.63,2257766.2571428576,1270619.4865633703
69,2011-02-08,828874.84,2109736.3942857147,1379672.9460510316
70,2011-02-09,4022207.34,2199240.5042857146,1492693.6260422552
71,2011-02-10,658258.76,2028596.094285715,1603098.6471105912
72,2011-02-11,1688543.3699999999,1771385.6742857147,1468517.3862288212
73,2011-02-12,1688543.3699999999,1514175.2542857148,1260473.9404602956
74,2011-02-13,32759.790000000005,1503138.1571428576,1275072.0839862004
75,2011-02-14,4538766.989999999,1922564.9228571432,1718940.3335264018
76,2011-02-15,6372729.88,2714544.214285715,2307441.83687706
77,2011-02-16,5434194.94,2916256.728571429,2494909.1043567313
78,2011-02-17,3766602.22,3360305.7942857146,2294620.675020919
79,2011-02-18,1517863.11,3335922.900000001,2316151.55003182
80,2011-02-19,1517863.11,3311540.005714286,2337187.355979561
81,2011-02-20,1107459.6199999999,3465068.5528571433,2110183.3238655212
82,2011-02-21,1607602.55,3046330.775714286,2152022.471138956
83,2011-02-22,4978492.1,2847153.95,1833840.2704199501
84,2011-02-23,2359192.95,2407867.951428572,1435986.3252759993
85,2011-02-24,1791362.91,2125690.9071428576,1313322.302504971
86,2011-02-25,3782683.62,2449236.6942857145,1413759.1677497423
87,2011-02-26,3782683.62,2772782.481428572,1424203.9134153216
88,2011-02-27,1078626.02,2768663.3957142862,1429853.596052103
89,2011-02-28,2171925.61,2849280.975714286,1368053.798581024
90,2011-03-01,3661201.83,2661096.6514285724,1088363.39346177
91,2011-03-02,1847109.78,2587941.9128571437,1128507.6228408425
92,2011-03-03,7356083.54,3382902.0028571435,2054186.0669013318
93,2011-03-04,3932695.73,3404332.304285715,2059826.6666952998
94,2011-03-05,3932695.73,3425762.6057142867,2065192.4352534716
95,2011-03-06,189512.68,3298746.4142857147,2252459.7816335903
96,2011-03-07,1418976.39,3191182.2400000007,2331818.684538054
97,2011-03-08,4532758.49,3315690.3342857147,2383787.7011927315
98,2011-03-09,1706748.75,3295638.7585714287,2398743.162003235
99,2011-03-10,2110687.84,2546296.515714287,1607799.3667030912
100,2011-03-11,2977230.48,2409801.4800000004,1507939.9777072035
101,2011-03-12,2977230.48,2273306.4442857145,1385379.0316577042
102,2011-03-13,724594.21,2349746.6628571437,1260361.1751917596
103,2011-03-14,2208599.85,2462550.014285715,1196911.2123068464
104,2011-03-15,1826756.13,2075978.2485714292,781876.5163501069
105,2011-03-16,3884365.48,2387066.352857143,1010320.7920177894
106,2011-03-17,4203518.34,2686042.138571429,1205673.7889953568
107,2011-03-18,1839001.1,2523437.941428572,1236224.2723418921
108,2011-03-19,1839001.1,2360833.744285715,1241433.84549921
109,2011-03-20,2354268.33,2593644.3328571436,1015735.0258601025
110,2011-03-21,3323559.31,2752924.255714286,1032572.1782564193
111,2011-03-22,6491474.87,3419312.647142858,1653667.17231365
112,2011-03-23,7661458.62,3958897.3814285723,2314777.067022772
113,2011-03-24,4388880.4399999995,3985377.6814285717,2319098.0571965436
114,2011-03-25,3261371.62,4188573.47,2156290.3113752585
115,2011-03-26,3261371.62,4391769.258571429,1955663.5996897456
116,2011-03-27,1216668.05,4229254.932857144,2186805.2039148514
117,2011-03-28,3524473.34,4257956.937142857,2174218.9362401688
118,2011-03-29,440350.73,3393510.631428572,2335166.3318491774
119,2011-03-30,7165156.41,3322610.3157142857,2186807.210177192
120,2011-03-31,4917239.35,3398090.1600000006,2238257.6548767667
121,2011-04-01,5857425.5,3768955.0000000005,2419560.4706310565
122,2011-04-02,5857425.5,4139819.8400000003,2525434.6246775934
123,2011-04-03,415455.5,4025360.9042857145,2692622.2558147116
124,2011-04-04,2784547.31,3919657.185714286,2729829.1999659855
125,2011-04-05,5363587.29,4622976.694285715,2281394.2075424325
126,2011-04-06,1912426.52,3872586.7100000004,2166847.395871319
127,2011-04-07,1828493.9,3431337.3600000003,2232169.1683753366
128,2011-04-08,5209787.26,3338817.6114285714,2125736.5874014883
129,2011-04-09,5209787.26,3246297.8628571434,2008720.9295334832
130,2011-04-10,948884.29,3322501.975714286,1890041.8782909887
131,2011-04-11,3097250.15,3367173.810000001,1878870.403697262
132,2011-04-12,3519359.12,3103712.6428571427,1669956.8378975755
133,2011-04-13,4899456.0,3530431.1400000006,1696243.1965095159
134,2011-04-14,5646575.92,4075871.428571429,1671445.9056195023
135,2011-04-15,1358968.09,3525754.4042857145,1859201.7080809444
136,2011-04-16,1358968.09,2975637.3800000004,1847538.0482223027
137,2011-04-17,3541148.95,3345960.9028571434,1619283.7771004662
138,2011-04-18,2425947.84,3250060.572857143,1655932.194106327
139,2011-04-19,3553351.42,3254916.6157142865,1656903.0926836834
140,2011-04-20,9958954.01,3977702.0457142857,3029153.988163497
141,2011-04-21,2640333.97,3548238.9100000006,2965551.8477776437
142,2011-04-22,2640333.97,3731291.178571429,2844990.1668463135
143,2011-04-23,2640333.97,3914343.447142858,2704672.7516119876
144,2011-04-24,2640333.97,3785655.592857144,2746495.652892416
145,2011-04-25,2640333.97,3816282.1828571437,2729951.7931836797
146,2011-04-26,3791550.21,3850310.581428572,2727611.7245586887
147,2011-04-27,3482063.67,2925040.5328571433,494368.77776350407
148,2011-04-28,2049840.3599999999,2840684.3028571433,591820.4445354517
149,2011-04-29,2049840.3599999999,2756328.072857144,662946.7930787016
150,2011-04-30,2049840.3599999999,2671971.842857144,715640.6389221944
151,2011-05-01,702491.81,2395137.248571429,1033943.747755206
152,2011-05-02,702491.81,2118302.6542857145,1202961.8615107508
153,2011-05-03,4346218.07,2197540.920000001,1341802.4096401168
154,2011-05-04,2845512.13,2106604.985714286,1259271.2723242315
155,2011-05-05,3873081.04,2367067.9400000004,1423429.7545923009
156,2011-05-06,6188940.49,2958367.9585714294,2008960.7622161699
157,2011-05-07,6188940.49,3549667.977142858,2286892.5993023044
158,2011-05-08,2044370.83,3741364.980000001,2052703.0858756772
159,2011-05-09,3374797.53,4123122.9400000004,1589600.9627404031
160,2011-05-10,1995494.74,3787305.321428572,1772409.063688737
161,2011-05-11,5028668.88,4099184.8571428577,1771145.1328553099
162,2011-05-12,6690529.55,4501677.501428572,2014599.735678111
163,2011-05-13,3297957.58,4088679.942857143,1904371.678660496
164,2011-05-14,3297957.58,3675682.384285715,1672322.1155248475
165,2011-05-15,893182.85,3511226.958571429,1900516.3644944443
166,2011-05-16,1965787.23,3309939.7728571435,1989888.1860548614
167,2011-05-17,9177129.6,4335887.61,2860247.597952647
168,2011-05-18,2475146.62,3971098.7157142865,2919389.5626656646
169,2011-05-19,3245201.19,3478908.95,2663734.2306326395
170,2011-05-20,3257026.74,3473061.687142858,2664242.5218716334
171,2011-05-21,3257026.74,3467214.4242857145,2664735.7470226386
172,2011-05-22,2910668.43,3755426.650000001,2439519.7784857578
173,2011-05-23,8381772.55,4671995.981428572,2829225.814463507
174,2011-05-24,1730996.79,3608262.7228571433,2177906.504743498
175,2011-05-25,3826415.6599999997,3801301.1571428576,2119844.813583995
176,2011-05-26,1572816.67,3562389.0828571436,2281074.1359930024
177,2011-05-27,7857180.130000001,4219553.852857144,2785340.210131625
178,2011-05-28,7857180.130000001,4876718.622857144,3050451.5584234293
179,2011-05-29,143007.77,4481338.52857143,3494755.96207255
180,2011-05-30,143007.77,3304372.1314285723,3346413.3616424617
181,2011-05-31,2200295.06,3371414.741428572,3314184.353040346
182,2011-06-01,1365391.56,3019839.870000001,3387594.4388462584
183,2011-06-02,2003229.3,3081327.3885714295,3360752.2074115486
184,2011-06-03,2103098.66,2259315.7500000005,2619992.7639115416
185,2011-06-04,2103098.66,1437304.111428572,925974.1467233406
186,2011-06-05,3657770.27,1939413.0400000007,1051589.4344013773
187,2011-06-06,1230999.7,2094840.4585714291,789590.1701059217
188,2011-06-07,2919986.63,2197653.5400000005,850143.8744548179
189,2011-06-08,3446126.75,2494901.4242857145,874070.8269724816
190,2011-06-09,6327867.33,3112706.8571428577,1651368.1272347104
191,2011-06-10,3424223.53,3301438.9814285715,1591147.1423917292
192,2011-06-11,3424223.53,3490171.105714286,1501122.5348991759
193,2011-06-12,2002314.3599999999,3253677.4042857145,1597619.9229313636
194,2011-06-13,2190367.92,3390730.0071428576,1427249.9524838724
195,2011-06-14,933640.66,3106966.297142858,1706570.1661578212
196,2011-06-15,11802519.49,4300736.688571429,3719235.8461782783
197,2011-06-16,4422003.34,4028470.4042857145,3614388.748078149
198,2011-06-17,2198280.94,3853335.7485714294,3677694.2570510306
199,2011-06-18,2198280.94,3678201.0928571434,3730347.936852982
200,2011-06-19,2346700.53,3727399.1171428575,3706757.9875201536
201,2011-06-20,2293343.98,3742109.982857143,3699839.254090456
202,2011-06-21,3340220.82,4085907.148571429,3501892.4065037523
203,2011-06-22,4238002.99,3005261.9342857148,990115.4076969717
204,2011-06-23,1584378.13,2599886.9042857145,889140.3426285123
205,2011-06-24,1687278.84,2526886.6042857147,946721.1940152637
206,2011-06-25,1687278.84,2453886.304285715,994764.8234493828
207,2011-06-26,1039512.5700000001,2267145.167142858,1131532.944560308
208,2011-06-27,487185.26,2009122.4928571435,1315531.6933895303
209,2011-06-28,996138.78,1674253.6300000006,1214708.1252085918
210,2011-06-29,1084589.41,1223765.9757142863,448593.0229594738
211,2011-06-30,2315256.7,1328177.2000000007,604485.0633077146
212,2011-07-01,2201459.04,1401631.514285715,681702.7187840748
213,2011-07-02,2201459.04,1475085.8285714292,742593.7093478302
214,2011-07-03,379049.91,1380734.0200000007,842409.9682586367
215,2011-07-04,4734919.31,1987553.1700000006,1421996.8668060238
216,2011-07-05,6451055.39,2766826.971428572,2114297.618096539
217,2011-07-06,3996646.09,3182835.0685714292,2012155.5274727938
218,2011-07-07,4647142.67,3515961.635714286,2037453.9077923396
219,2011-07-08,1727008.75,3448183.0228571435,2095534.4715573024
220,2011-07-09,1727008.75,3380404.4100000006,2149556.1919652903
221,2011-07-10,366204.82,3378569.397142858,2152548.7875724807
222,2011-07-11,3194006.68,3158439.0214285715,2067848.089663315
223,2011-07-12,2298546.31,2565223.4385714293,1477088.022761735
224,2011-07-13,2594046.66,2364852.091428572,1339250.6235265082
225,2011-07-14,2544922.36,2064534.9042857147,908643.2671874535
226,2011-07-15,1353496.8699999999,2011176.0642857146,942117.8750348873
227,2011-07-16,1353496.8699999999,1957817.2242857148,971028.4275109596
228,2011-07-17,1706899.3,2149345.0071428576,698847.4750395506
229,2011-07-18,2922900.59,2110615.565714286,635989.6752063035
230,2011-07-19,7971446.149999999,2921029.828571429,2314573.9504557187
231,2011-07-20,1305177.57,2736905.672857143,2394795.1905729515
232,2011-07-21,3912363.44,2932254.398571429,2432008.070374546
233,2011-07-22,1389735.74,2937431.38,2428122.745258999
234,2011-07-23,1389735.74,2942608.3614285723,2424218.294984099
235,2011-07-24,3748650.62,3234287.121428572,2373049.9993072897
236,2011-07-25,1437616.98,3022103.748571429,2469956.3874152573
237,2011-07-26,1974420.03,2165385.731428572,1159597.4858904826
238,2011-07-27,1881824.98,2247763.932857143,1107620.8299751722
239,2011-07-28,4804183.91,2375166.8571428577,1354727.1842520128
240,2011-07-29,3466547.27,2671854.218571429,1330137.0511105864
241,2011-07-30,3466547.27,2968541.580000001,1223869.0676360093
242,2011-07-31,4890120.47,3131608.701428572,1407414.4190597828
243,2011-08-01,2564084.96,3292532.698571429,1235319.904362552
244,2011-08-02,4321535.79,3627834.95,1132145.805768513
245,2011-08-03,2860064.97,3767583.52,921478.6161604526
246,2011-08-04,32360837.189999998,7704248.274285714,10901934.433815086
247,2011-08-05,2617915.22,7583015.124285714,10961469.170051986
248,2011-08-06,2617915.22,7461781.974285714,11019126.291162705
249,2011-08-07,420767.72000000003,6823303.01,11318390.024241824
250,2011-08-08,1072592.78,6610232.698571429,11425466.099127248
251,2011-08-09,1081764.42,6147408.217142857,11597945.478671605
252,2011-08-10,1155471.71,5903894.894285714,11695951.929730374
253,2011-08-11,12166777.12,3019029.170000001,4118423.9635181827
254,2011-08-12,2044052.72,2937048.8128571436,4133423.4577033524
255,2011-08-13,2044052.72,2855068.455714286,4146478.168342008
256,2011-08-14,385269.39,2849997.2657142864,4149971.777766472
257,2011-08-15,2214892.91,3013182.998571429,4090464.0790196904
258,2011-08-16,1048429.88,3008420.921428572,4093105.924196129
259,2011-08-17,1890840.48,3113473.602857143,4046797.2818419277
260,2011-08-18,16440694.6,3724033.2428571433,5646568.911842763
261,2011-08-19,3916213.6799999997,3991484.808571429,5597861.633998511
262,2011-08-20,3916213.6799999997,4258936.374285715,5533666.5190379955
263,2011-08-21,739799.34,4309583.510000001,5493782.311212925
264,2011-08-22,1333684.5,4183696.594285715,5559484.0602513105
265,2011-08-23,2506289.4399999995,4391962.245714285,5448659.673377123
266,2011-08-24,6349119.83,5028859.295714286,5367537.364788794
267,2011-08-25,5392900.529999999,3450603.0,2054630.3251359256
268,2011-08-26,2356901.89,3227844.172857143,2080107.0879886486
269,2011-08-27,2356901.89,3005085.345714286,2077595.1803795325
270,2011-08-28,821880.12,3016811.171428572,2062858.5468631461
271,2011-08-29,821880.12,2943696.2600000007,2140081.723623993
272,2011-08-30,538579.58,2662594.8514285716,2328083.41086477
273,2011-08-31,2043142.42,2047455.2214285717,1666548.9168767487
274,2011-09-01,7560117.46,2357057.6400000006,2421802.9370316314
275,2011-09-02,2397287.96,2362827.078571429,2421850.6093594846
276,2011-09-03,2397287.96,2368596.5171428574,2421882.2461007703
277,2011-09-04,2285021.0,2577616.642857143,2327441.694474446
278,2011-09-05,1784127.56,2715080.562857143,2232959.505860443
279,2011-09-06,1222696.76,2812811.5885714293,2134628.8647685014
280,2011-09-07,1437399.99,2726276.955714286,2182765.4889866393
281,2011-09-08,5514079.56,2433985.8271428575,1437276.457526794
282,2011-09-09,5065931.22,2815220.5785714285,1746567.6797563126
283,2011-09-10,5065931.22,3196455.3300000005,1922526.2515638252
284,2011-09-11,5262253.03,3621774.191428572,2014413.8018261786
285,2011-09-12,2206664.03,3682136.5442857146,1955644.1445811512
286,2011-09-13,4440454.21,4141816.1800000006,1632703.6972754395
287,2011-09-14,4179914.26,4533603.932857143,1126012.818941609
288,2011-09-15,4161554.9,4340386.124285715,1042687.6639331095
289,2011-09-16,3124235.07,4063000.9600000004,1075267.0507424516
290,2011-09-17,3124235.07,3785615.7957142857,1022579.2525698068
291,2011-09-18,693260.68,3132902.602857143,1333789.7774021162
292,2011-09-19,6216922.28,3705796.638571429,1684724.3821998117
293,2011-09-20,1623840.5999999999,3303423.265714287,1811595.3533127871
294,2011-09-21,3598425.28,3220353.4114285717,1777721.0066729728
295,2011-09-22,6952066.75,3618997.961428572,2268962.8219323815
296,2011-09-23,2904831.67,3587654.6185714295,2278432.211739613
297,2011-09-24,2904831.67,3556311.275714286,2287361.3883710126
298,2011-09-25,2622855.56,3831967.687142858,1980509.5466197333
299,2011-09-26,3166142.2,3396141.961428572,1681280.0238949566
300,2011-09-27,3634834.8,3683426.8471428575,1488758.376916482
301,2011-09-28,5382454.859999999,3938288.2157142865,1618806.130597476
302,2011-09-29,4873832.15,3641397.558571429,1072269.6095919043
303,2011-09-30,2530009.1,3587851.477142858,1123325.2283370206
304,2011-10-01,2530009.1,3534305.3957142862,1169301.8978423134
305,2011-10-02,420196.93,3219639.8771428573,1652141.6193812808
306,2011-10-03,2360547.49,3104554.918571429,1684235.606900661
307,2011-10-04,2394753.7,2927400.475714286,1684380.8268016288
308,2011-10-05,6314813.16,3060594.518571429,1929849.7657707483
309,2011-10-06,7584921.13,3447892.9442857145,2532377.6968032494
310,2011-10-07,4437107.1,3720335.5157142864,2519724.852927984
311,2011-10-08,4437107.1,3992778.0871428577,2472225.3757759654
312,2011-10-09,611498.4500000001,4020106.875714286,2426790.667842852
313,2011-10-10,9270487.41,5007241.15,2981252.464568705
314,2011-10-11,5377389.21,5433331.937142857,2749795.2330637276
315,2011-10-12,3479841.0,5028335.914285715,2806516.4702948867
316,2011-10-13,3392159.35,4429369.9457142865,2610518.2228815784
317,2011-10-14,3440523.12,4287000.805714286,2637066.1642874754
318,2011-10-15,3440523.12,4144631.6657142863,2654455.9234626843
319,2011-10-16,312787.0,4101958.601428572,2722256.2268244675
320,2011-10-17,4338435.84,3397379.805714287,1545492.7084183483
321,2011-10-18,4386603.18,3255838.9442857155,1369256.1974566968
322,2011-10-19,3656304.21,3281047.974285715,1375676.939265783
323,2011-10-20,1775851.71,3050146.8828571434,1485203.9761938555
324,2011-10-21,1577499.57,2784000.6614285717,1568196.6781777733
325,2011-10-22,1577499.57,2517854.4400000004,1596048.8398663076
326,2011-10-23,494472.19,2543809.4671428576,1555167.1435390539
327,2011-10-24,2520951.59,2284168.8600000003,1342833.758407385
328,2011-10-25,8933130.02,2933672.6942857145,2818234.7559634685
329,2011-10-26,3630928.46,2930047.5871428577,2817166.4293467095
330,2011-10-27,7975300.95,3815683.1928571435,3322913.393737339
331,2011-10-28,7990995.87,4731896.950000001,3483249.3693511994
332,2011-10-29,7990995.87,5648110.707142858,3356424.844296451
333,2011-10-30,3215589.06,6036841.688571429,2765649.8808130072
334,2011-10-31,2700790.67,6062532.985714287,2728126.600602285
335,2011-11-01,1845814.66,5050059.362857143,2799425.9750818284
336,2011-11-02,4443577.64,5166152.102857143,2747127.579567665
337,2011-11-03,3199512.44,4483896.601428572,2516555.3826623033
338,2011-11-04,6341299.57,4248225.701428572,2189357.6325920993
339,2011-11-05,6341299.57,4012554.8014285723,1767463.5938323392
340,2011-11-06,5189212.18,4294500.961428572,1776535.864479942
341,2011-11-07,1983176.46,4191984.6457142862,1900228.9054956087
342,2011-11-08,2500846.49,4285560.621428573,1777608.823528404
343,2011-11-09,12797500.469999999,5478978.168571429,3683698.125789195
344,2011-11-10,4526626.899999999,5668565.94857143,3579506.3798052194
345,2011-11-11,5089928.63,5489798.671428571,3571548.2633306533
346,2011-11-12,5089928.63,5311031.394285715,3553094.4278174825
347,2011-11-13,2939279.2,4989612.397142857,3665925.927283708
348,2011-11-14,5209242.38,5450478.957142858,3419475.393690473
349,2011-11-15,6639671.4399999995,6041739.664285714,3173420.717766842
350,2011-11-16,6061213.63,5079412.972857143,1176234.1643124695
351,2011-11-17,8251148.5,5611487.487142858,1636753.47595496
352,2011-11-18,4831907.859999999,5574627.377142857,1653278.6479160844
353,2011-11-19,4831907.859999999,5537767.267142857,1668690.6272898517
354,2011-11-20,2253484.43,5439796.585714286,1856266.6922239491
355,2011-11-21,3409110.67,5182634.912857143,2011714.0850760937
356,2011-11-22,4112694.27,4821638.1742857145,1931819.0210936698
357,2011-11-23,6070781.91,4823005.071428572,1932845.4009898722
358,2011-11-24,3863916.42,4196257.631428571,1213352.4676409224
359,2011-11-25,7305118.17,4549573.390000001,1694131.2288210986
360,2011-11-26,7305118.17,4902889.14857143,1994157.0411100225
361,2011-11-27,357348.94,4632012.65,2482906.4189055692
362,2011-11-28,4978520.51,4856214.055714286,2424240.783638557
363,2011-11-29,5450053.47,5047265.37,2408525.8149511777
364,2011-11-30,6121439.05,5054502.104285715,2412186.974600944
365,2011-12-01,3916683.44,5062040.250000001,2407924.9461687934
366,2011-12-02,3414815.98,4506282.794285715,2247535.690176512
367,2011-12-03,3414815.98,3950525.3385714293,1893156.7980037283
368,2011-12-04,2786957.3,4297612.247142858,1231797.106222512
369,2011-12-05,5073254.09,4311145.615714286,1241010.7981600047
370,2011-12-06,6162110.04,4412867.9828571435,1372174.2434591432
371,2011-12-07,3923647.94,4098897.824285715,1149438.50509846
372,2011-12-08,3290309.13,4009415.7800000007,1189665.0511073195
373,2011-12-09,2996934.69,3949718.4528571432,1234128.5888113268
